"GRINS_macroclass","Year","predicted_IFC_decile"
"2 ITALIA DI MEZZO","2018",5.25351876675604
"3 ITALIA METROPOLITANA","2018",5.14788732394376
"1 ITALIA INTERNA","2018",6.7301470588235
"2 ITALIA DI MEZZO","2019",5.1216487935657
"3 ITALIA METROPOLITANA","2019",4.95774647887333
"1 ITALIA INTERNA","2019",6.61397058823525
"2 ITALIA DI MEZZO","2021",4.86796246648797
"3 ITALIA METROPOLITANA","2021",4.78521126760574
"1 ITALIA INTERNA","2021",6.41691176470586
"2 ITALIA DI MEZZO","2022",4.76441018766763
"3 ITALIA METROPOLITANA","2022",4.63556338028185
"1 ITALIA INTERNA","2022",6.3095588235294
