"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",6.7301470588235,0.0764201787872266,88.0676696342462,0
"GRINS_macroclass2 ITALIA DI MEZZO",-1.47662829206745,0.0846810769263552,-17.4375237734829,8.90595294819643e-68
"GRINS_macroclass3 ITALIA METROPOLITANA",-1.58225973487974,0.140795053226905,-11.2380349921085,3.01422176254216e-29
"Year2019",-0.116176470588253,0.108074453279905,-1.07496699786548,0.282397718977365
"Year2021",-0.313235294117634,0.10807445327987,-2.89832874108073,0.00375415263568421
"Year2022",-0.420588235294097,0.10807445327986,-3.89165267581767,9.97680548642253e-05
"GRINS_macroclass2 ITALIA DI MEZZO:Year2019",-0.0156935026020925,0.119757127465623,-0.131044414092158,0.895741007907753
"GRINS_macroclass3 ITALIA METROPOLITANA:Year2019",-0.0739643744821731,0.199114273788551,-0.371466962537902,0.710292251216916
"GRINS_macroclass2 ITALIA DI MEZZO:Year2021",-0.0723210061504342,0.119757127465617,-0.603897301821959,0.545916261714026
"GRINS_macroclass3 ITALIA METROPOLITANA:Year2021",-0.0494407622203791,0.199114273788559,-0.248303455496519,0.803901240544868
"GRINS_macroclass2 ITALIA DI MEZZO:Year2022",-0.0685203437943138,0.119757127465616,-0.572160882983661,0.567217059333652
"GRINS_macroclass3 ITALIA METROPOLITANA:Year2022",-0.0917357083678075,0.199114273788558,-0.460718895849841,0.645003469712184
