"model","fold","RMSE","MAE","R2"
"M_geo",1,1.67916401419582,1.25171996420262,0.833052222961879
"M_geo_nested",1,1.65126587645513,1.21439019031718,0.838553581040549
"M_tax",1,1.74175806803764,1.30792458807516,0.820373641499328
"M_geo_plus_tax",1,1.67575627670427,1.24885707029293,0.833729151373611
"M_geo",2,1.63959050139212,1.23582771573847,0.845824904696728
"M_geo_nested",2,1.60046022372739,1.20144826083095,0.853096139636306
"M_tax",2,1.71889173769051,1.29087610532119,0.830550424064711
"M_geo_plus_tax",2,1.63520263057156,1.23203213674778,0.846649007027695
"M_geo",3,1.63300865735489,1.24758884891026,0.849625982949546
"M_geo_nested",3,1.5955071277214,1.21008830287507,0.856453263094268
"M_tax",3,1.74585617251818,1.3153557323054,0.828124983594081
"M_geo_plus_tax",3,1.63484314062627,1.24862407904446,0.849287939958766
"M_geo",4,1.6335680551174,1.22215177479548,0.842313745928341
"M_geo_nested",4,1.60112279593015,1.19212442462825,0.848515340919359
"M_tax",4,1.71807574103858,1.2874390787605,0.825576906925564
"M_geo_plus_tax",4,1.63499796807844,1.22375940000581,0.842037569736531
"M_geo",5,1.59404940093367,1.21008936990609,0.858308235287072
"M_geo_nested",5,1.54545749018355,1.17014666763667,0.866815040215392
"M_tax",5,1.70499741436362,1.2793877971419,0.837897950461809
"M_geo_plus_tax",5,1.59280131040196,1.20910273617871,0.858530028812608
