"n_covariates","rep","fold","RMSE","MAE","R2"
5,1,1,2.45225169781117,1.88954619330997,0.655331411667744
5,1,2,2.51603753923027,1.95038855010301,0.629634865802161
5,1,3,2.4267345027319,1.87815218288163,0.638924826907509
5,1,4,2.51466276293965,1.94450739795545,0.657320512480494
5,1,5,2.36369847717988,1.86062990175399,0.681465824782178
5,2,1,2.50660033549863,1.95230740240013,0.64023567522086
5,2,2,2.46109987101753,1.91347285826897,0.650850541262884
5,2,3,2.37574334079701,1.84448499698073,0.674562258258746
5,2,4,2.4739065260954,1.91655498339842,0.653998879640543
5,2,5,2.45999286538599,1.89650097197357,0.644164821905869
5,3,1,2.42642705022929,1.87998243713949,0.660024195805324
5,3,2,2.43135016537835,1.87624541262199,0.646792785949421
5,3,3,2.39985710225326,1.87592796670451,0.677764300294532
5,3,4,2.52624240428342,1.9558471071123,0.637307038202399
5,3,5,2.4864217619003,1.93135995640956,0.644029194844352
5,4,1,2.41739336990763,1.87931005758006,0.648984601946597
5,4,2,2.46898703502835,1.90573142150125,0.644250407025416
5,4,3,2.5033864385214,1.9378269686409,0.64182880109671
5,4,4,2.45730699719385,1.90419487623806,0.645713404430241
5,4,5,2.43016546913103,1.89759251998145,0.681633719148008
5,5,1,2.40859154349068,1.88236334646739,0.65956338411235
5,5,2,2.40741954576163,1.86864792435041,0.670605542774773
5,5,3,2.50649800126351,1.95398603976699,0.641640742645857
5,5,4,2.4831544764172,1.8971797588272,0.640087241318707
5,5,5,2.46004096579643,1.91518946078054,0.65627595548996
10,1,1,2.26648178062588,1.72893079370668,0.705574051920272
10,1,2,2.29411046926544,1.77466405668581,0.692089487501873
10,1,3,2.21097823654297,1.69273684939495,0.700275645380568
10,1,4,2.29269040477636,1.74684112995404,0.715147894511917
10,1,5,2.18994947003363,1.68948258234954,0.726573834597666
10,2,1,2.28489616738013,1.75530753279149,0.701062191244959
10,2,2,2.25224344791962,1.7258607295361,0.707595829792167
10,2,3,2.17401162833441,1.67097813918392,0.727483625959479
10,2,4,2.28061070186699,1.75548997139559,0.705955372756257
10,2,5,2.25953691769729,1.71926663549394,0.699793515787085
10,3,1,2.19045807382032,1.68278431624325,0.722933880611283
