"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",103.3048503711,0.0378049074790791,2732.57778578794,0
"PC1",0.489587451424046,0.00227063539956939,215.616937671673,0
"PC2",0.286889186229062,0.00335064160424802,85.6221643834832,0
"PC3",-0.0519003976931275,0.00342091331013136,-15.1715033349192,1.26928551415777e-51
"PC4",-0.167956769835012,0.00451846081970916,-37.171235191948,6.33622250642936e-290
"PC5",-0.107170481723885,0.00543622630151417,-19.7141317855061,1.76258643355189e-85
"PC6",0.17165681827663,0.00662402617093593,25.9142723544488,5.0881503959674e-145
"PC7",0.11542899694035,0.0107543188361433,10.7332689963044,8.79985809194466e-27
"PC8",0.122679211033996,0.00823887594984531,14.8902850074225,8.34030273593155e-50
"PC9",-0.0511024468069218,0.0069310403357555,-7.37298361160835,1.75177585503755e-13
"PC10",0.0853761054482794,0.00734477341702806,11.6240625272856,4.1709311475741e-31
"PC11",-0.0934094199136939,0.00743432571360033,-12.5646122475924,4.92793435428411e-36
"PC12",0.00681004772835828,0.00795133291296476,0.856466180312284,0.3917530535365
"PC13",0.0844418622209152,0.00787167696155941,10.727302788628,9.38235670176401e-27
"PC14",-0.0517005940325405,0.00824762937065548,-6.26853992936294,3.73975209129095e-10
"PC15",-0.0989911370415739,0.00842252642030316,-11.7531405782175,9.24623962122552e-32
"PC16",-0.094309801502199,0.00857201291289303,-11.0020601299316,4.72974817558533e-28
"PC17",0.00550704858618189,0.00904865206281447,0.608604303486612,0.542795562974658
"PC18",0.0201653285656861,0.00912820995567836,2.20912190490775,0.0271805585041864
"PC19",-0.0525105410693551,0.00927662889170238,-5.66051975155802,1.53555788567513e-08
"PC20",0.0673599661101979,0.00941800445228824,7.15225464709053,8.91347279288101e-13
"PC21",-0.0565793698647881,0.00956453597140798,-5.91553735946263,3.37674199485911e-09
"PC22",0.0145402861711527,0.00968551308024389,1.50124067260943,0.13331344917829
"PC23",-0.0968425361055253,0.00976333795736649,-9.918998658902,4.02592490598757e-23
