"K","rep","fold","RMSE","MAE","R2"
5,1,1,2.15107692307628,1.60260658719697,0.734793905564982
5,1,2,2.21611739539961,1.66976333864838,0.712669725071928
5,1,3,2.05979078775201,1.56270197684251,0.739864680867981
5,1,4,2.13395876572208,1.61043848181892,0.753225287973079
5,1,5,2.09359524165898,1.58422998549824,0.750105137034459
5,2,1,2.11908465583917,1.60410613093231,0.742874871363183
5,2,2,2.11036302279422,1.59765646225785,0.743275548193816
5,2,3,2.05841604944885,1.56638422747588,0.755693402526292
5,2,4,2.20637236714027,1.65531752300489,0.724787248710238
5,2,5,2.15806464847623,1.60432886429779,0.726151676476711
5,3,1,2.07763122762323,1.58740736937093,0.75074122260615
5,3,2,2.0737589066861,1.55767128666166,0.743048550400391
5,3,3,2.11743523532558,1.59659352264007,0.74914477045891
5,3,4,2.23639961330669,1.66597505592378,0.715758226946235
5,3,5,2.14934179435606,1.62145109814821,0.734003604306718
5,4,1,2.0576532530883,1.55415337970476,0.745682704115685
5,4,2,2.18071625934709,1.63491665414339,0.722473079668857
5,4,3,2.13974851889827,1.61702105580269,0.738326141051037
5,4,4,2.13997892221336,1.61031887430019,0.731307912118861
5,4,5,2.12735787053805,1.60814029449605,0.756029968845037
5,5,1,2.10112520366297,1.59266733579026,0.740931974635631
5,5,2,2.15152661603749,1.60891632013126,0.736908892885258
5,5,3,2.16087043054159,1.63789905491114,0.733656957858287
5,5,4,2.1250517624078,1.58707334918992,0.736410083098648
5,5,5,2.10581760279215,1.59706135995037,0.748135627738903
10,1,1,2.05840104075246,1.5358091466479,0.757153637234463
10,1,2,2.1108998428432,1.59078842609676,0.739305950626823
10,1,3,1.96376073771719,1.47334401475757,0.763554940521447
10,1,4,2.06036272772908,1.55444453681128,0.769953316405694
10,1,5,2.00686464896234,1.51236397472084,0.77038087947355
10,2,1,2.02233354205468,1.531032101595,0.765818017382298
10,2,2,2.0183173966415,1.52495160970474,0.765181761986281
10,2,3,1.97398136939655,1.48447190655772,0.775324883638827
10,2,4,2.10797123266535,1.58427459544008,0.748788051472291
10,2,5,2.07097977727888,1.53561545157382,0.747807073315364
10,3,1,1.99878303209367,1.5200161248038,0.769301463251613
10,3,2,2.02225268651524,1.5096840511452,0.755653914676314
10,3,3,2.01336913256725,1.51321839871412,0.773196527377561
10,3,4,2.11586391575897,1.58970420067355,0.745572206963636
10,3,5,2.05330121468361,1.53561319515077,0.757243921855452
10,4,1,1.98080321813789,1.49796818192779,0.764324639159115
10,4,2,2.0644892235041,1.55169937243421,0.751267787189894
10,4,3,2.05278024284634,1.54662791307151,0.759164896693447
10,4,4,2.05364582065734,1.537620202992,0.752550273646968
10,4,5,2.04082590891837,1.52797684409281,0.775473662999524
10,5,1,1.99829612838018,1.51644804601858,0.76566905484972
10,5,2,2.05509001436236,1.53649322576973,0.759965083545129
10,5,3,2.05448332063151,1.55420518520654,0.759237334818676
10,5,4,2.05555151973127,1.51510661555227,0.753369661234502
10,5,5,2.02595220714303,1.53666069758281,0.766877803243996
15,1,1,2.02765329135818,1.51705645858886,0.764354575497223
15,1,2,2.0731872173176,1.56997225279885,0.748537685939856
15,1,3,1.94370792539616,1.46014509334288,0.768359171632711
15,1,4,2.04637298915676,1.53955178268381,0.773066716694154
15,1,5,1.99126829316607,1.49703705440363,0.773935982968297
15,2,1,2.00308603659028,1.52186007263423,0.77025444616805
15,2,2,1.98489826378514,1.50621518992158,0.772893585135846
15,2,3,1.95055810858473,1.47081748150303,0.780625238328175
15,2,4,2.09248912663527,1.56292808288183,0.752464579325335
15,2,5,2.04391066047001,1.51473834856819,0.754356654772806
15,3,1,1.97170244675581,1.49684932870957,0.775510370771459
15,3,2,2.00575125378986,1.49831565948609,0.759625337097852
15,3,3,1.98810924024852,1.49874470782474,0.778851817069234
15,3,4,2.08124337139673,1.56577065034742,0.753830172189213
15,3,5,2.03267102899541,1.52323931328395,0.762097514609454
15,4,1,1.94813276245344,1.4707812808816,0.772034768421909
15,4,2,2.04234067684327,1.53308900776164,0.756576127320609
15,4,3,2.03661204912919,1.53809236309287,0.762943707496192
15,4,4,2.02884769089437,1.524949305483,0.758490189845321
15,4,5,2.01244609475383,1.50902221687155,0.781674790618605
15,5,1,1.96754269667504,1.49898938423682,0.772826179733029
15,5,2,2.03328046933458,1.51842962238963,0.765032768084887
15,5,3,2.04821623111866,1.54856566367453,0.760703961273104
15,5,4,2.02850214552522,1.49402845177749,0.759817860193023
15,5,5,1.99133635392228,1.5151342229918,0.774776097392564
20,1,1,2.00919269211153,1.5062040173421,0.768625870743338
20,1,2,2.06537551501903,1.56389000153381,0.75042911949603
20,1,3,1.93190698752305,1.45108876607029,0.771163379740906
20,1,4,2.03096712606447,1.52659419674191,0.776470732603984
20,1,5,1.98787823465463,1.4961418441956,0.774705058526426
20,2,1,1.99343231153409,1.51122259467992,0.772463593319633
20,2,2,1.97644586816859,1.50166219933581,0.774823665028068
20,2,3,1.94404471132387,1.46696881523925,0.78208788564081
20,2,4,2.07487341778358,1.55013745482903,0.756614810997477
20,2,5,2.02966080069243,1.50662494130621,0.757769897044758
20,3,1,1.96038134267658,1.488939132549,0.778080914988021
20,3,2,1.99484120805559,1.49199152768653,0.762233204026453
20,3,3,1.98513613518368,1.49458805167676,0.779512751734998
20,3,4,2.06602650458052,1.55656645245,0.757416719989051
20,3,5,2.01942653767607,1.5124141443314,0.765187667456371
20,4,1,1.93379977866156,1.45969703797999,0.775376842783018
20,4,2,2.0283944393894,1.52253200084943,0.759889243704184
