"K","R2_mean","R2_sd","RMSE_mean","RMSE_sd","MAE_mean","MAE_sd"
1,0.64838968799017,0.0127022920851927,2.47083080356122,0.0404851971338175,1.92329292581772,0.0296506147923511
2,0.741385275813437,0.0112145148807256,2.1187701190804,0.0361179392888504,1.63769790756962,0.0272107746183014
3,0.745875695086285,0.0108277305658608,2.10031979068831,0.0352763409126249,1.6235327730601,0.0261126353101596
4,0.763163425666564,0.0113612148269954,2.02741003089333,0.034962442368525,1.56545068302799,0.0229963619308197
5,0.89882638494413,0.00470621816754556,1.32519139399908,0.0254718738952336,1.02445794720868,0.0150817856613068
6,0.913952277481028,0.00453817596620689,1.22202338344402,0.0280658691569154,0.927588761130737,0.0159156766278116
7,0.919736373132553,0.00421737169621608,1.18024729400366,0.0270678444682831,0.911419082376072,0.0140194410553453
8,0.932254963463715,0.00405203938538027,1.08422003244423,0.0297073781897383,0.831187232207561,0.0127709419890527
9,0.935692000805687,0.00387586484227584,1.05632602974804,0.0281725239447351,0.817029820962569,0.0138816755325216
10,0.97006642121106,0.00151242799901602,0.720751277886432,0.0139009604976651,0.547542157204702,0.00954114934080613
11,0.980455229602173,0.00112469380548477,0.582370864796229,0.014540774002764,0.441634209607459,0.0069928451571332
12,0.987217969235673,0.000610476927855567,0.470997388244117,0.00807640123250407,0.362221416878807,0.00456597528471514
