"GRINS_macroclass","Year","predicted_IFC_decile"
"2 ITALIA DI MEZZO","2018",5.25351876675606
"3 ITALIA METROPOLITANA","2018",5.14788732394441
"1 ITALIA INTERNA","2018",6.73014705882397
"2 ITALIA DI MEZZO","2019",5.12164879356577
"3 ITALIA METROPOLITANA","2019",4.95774647887378
"1 ITALIA INTERNA","2019",6.61397058823561
"2 ITALIA DI MEZZO","2021",4.86796246648805
"3 ITALIA METROPOLITANA","2021",4.78521126760635
"1 ITALIA INTERNA","2021",6.41691176470624
"2 ITALIA DI MEZZO","2022",4.7644101876678
"3 ITALIA METROPOLITANA","2022",4.63556338028243
"1 ITALIA INTERNA","2022",6.3095588235298
