"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",6.73014705882397,0.0764201787872737,88.0676696341981,0
"GRINS_macroclass2 ITALIA DI MEZZO",-1.47662829206791,0.0846810769263981,-17.4375237734795,8.90595294872309e-68
"GRINS_macroclass3 ITALIA METROPOLITANA",-1.58225973487956,0.140795053226834,-11.2380349921129,3.01422176239215e-29
"Year2019",-0.116176470588358,0.108074453279874,-1.07496699786677,0.28239771897679
"Year2021",-0.313235294117735,0.108074453279916,-2.89832874108043,0.00375415263568778
"Year2022",-0.420588235294169,0.108074453279856,-3.89165267581846,9.97680548638999e-05
"GRINS_macroclass2 ITALIA DI MEZZO:Year2019",-0.0156935026019253,0.119757127465583,-0.131044414090806,0.895741007908822
"GRINS_macroclass3 ITALIA METROPOLITANA:Year2019",-0.0739643744822659,0.199114273788565,-0.371466962538341,0.710292251216588
"GRINS_macroclass2 ITALIA DI MEZZO:Year2021",-0.0723210061502673,0.119757127465651,-0.603897301820391,0.545916261715068
"GRINS_macroclass3 ITALIA METROPOLITANA:Year2021",-0.0494407622203195,0.199114273788538,-0.248303455496245,0.803901240545079
"GRINS_macroclass2 ITALIA DI MEZZO:Year2022",-0.0685203437940831,0.119757127465635,-0.572160882981644,0.567217059335019
"GRINS_macroclass3 ITALIA METROPOLITANA:Year2022",-0.0917357083678062,0.199114273788544,-0.460718895849867,0.645003469712165
