"Year","Period","GRINS_macroclass","count","mean","sd"
"2018","Pre-COVID","1 ITALIA INTERNA",1360,6.73014705882353,2.81851911740005
"2018","Pre-COVID","2 ITALIA DI MEZZO",5968,5.25351876675603,2.80610272795601
"2018","Pre-COVID","3 ITALIA METROPOLITANA",568,5.14788732394366,2.92697045126101
"2019","Pre-COVID","1 ITALIA INTERNA",1360,6.61397058823529,2.81464876171435
"2019","Pre-COVID","2 ITALIA DI MEZZO",5968,5.12164879356568,2.80473644069066
"2019","Pre-COVID","3 ITALIA METROPOLITANA",568,4.95774647887324,2.95497843616305
"2021","Post-COVID","1 ITALIA INTERNA",1360,6.41691176470588,2.80026949052799
"2021","Post-COVID","2 ITALIA DI MEZZO",5968,4.86796246648794,2.81440768826446
"2021","Post-COVID","3 ITALIA METROPOLITANA",568,4.78521126760563,2.91011608302194
"2022","Post-COVID","1 ITALIA INTERNA",1360,6.30955882352941,2.84408112587309
"2022","Post-COVID","2 ITALIA DI MEZZO",5968,4.76441018766756,2.80488813919805
"2022","Post-COVID","3 ITALIA METROPOLITANA",568,4.63556338028169,2.91065112678701
