"script","success","seconds"
"01_build_ifc_reference_2018.R",FALSE,23.3
"02_pca.R",TRUE,35.9
"02b_pca_all.R",TRUE,2.9
"02c_pca_presentation.R",FALSE,3.3
"03_kmeans.R",TRUE,247
"04_kmeans_vs_grins.R",TRUE,87.1
"05_methodology.R",TRUE,29.9
"06_confusion_matrix_taxonomy.R",TRUE,7.8
"08_ifc_integrated_analysis.R",TRUE,6.1
"09_simple_linear_regression.R",FALSE,19.1
"10_final_benchmark.R",TRUE,183.9
"11_mixed_models.R",TRUE,60.4
"12_models_comparison.R",TRUE,3.2
"13_spatial_residual_check.R",TRUE,37.3
"14_parsimonious_model.R",TRUE,80.6
"15_residual_map_and_enet.R",TRUE,39.9
"16_calibration_uncertainty.R",TRUE,28.7
"17_normality_diagnostics.R",TRUE,37.4
"18_pcr_model.R",TRUE,111.3
"18b_pcr_on_ifc_indicators.R",TRUE,28.1
"18c_pls_vs_pcr.R",TRUE,185.6
